Style,Standard,,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,0,,,,,,,,,,,,,,,,,,,,,,,
Capacity,30000,,,,,,,,,,,,,,,,,,,,,,,
Count,11260,,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1709740595,,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.438305,,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds,
72,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438376,0
73,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438377,-37.8763125
74,-0.000256661,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438378,0
75,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438379,-18.9381553
76,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-4.68139E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43838,0
77,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-4.68139E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438381,56.8144678
78,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438382,-37.8763125
79,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438383,56.8144697
80,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438384,0
81,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438385,0
82,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438386,-37.8763134
83,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438387,37.8763134
84,-0.00581995,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438388,-18.9381572
85,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438389,-37.8763125
86,-0.00581995,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43839,37.8763125
